WKT,LINEARID,FULLNAME,RTTYP,MTFCC
"LINESTRING (-85.460357 31.872923,-85.460339 31.873217,-85.460316 31.873598,-85.460262 31.87418,-85.460197 31.874985,-85.460183 31.87521,-85.459966 31.87793,-85.459826 31.879691,-85.459795 31.88003,-85.459766 31.880349,-85.459737 31.880932,-85.459736 31.881224,-85.459749 31.881733,-85.459767 31.881949,-85.459806 31.882164,-85.459939 31.88279,-85.459944 31.882814,-85.459993 31.883019,-85.460096 31.883407,-85.460192 31.883748,-85.460354 31.884164,-85.460472 31.884435,-85.460534 31.884563,-85.460618 31.884707,-85.460744 31.884954,-85.460823 31.885097,-85.460896 31.885218)",110685798727,State Rte 51 Byp,S,S1400
"LINESTRING (-85.676761 31.642719,-85.676916 31.642832,-85.677069 31.642898,-85.677226 31.64296,-85.67738 31.643029,-85.67758 31.643166,-85.67783 31.643359,-85.677937 31.643473,-85.677963 31.643545)",110685800368,Doster Spr,M,S1400
"LINESTRING (-85.227257 32.057174,-85.227683 32.057159,-85.228537 32.057102,-85.228801 32.057073,-85.228891 32.057069,-85.22898 32.05708,-85.229049 32.057125,-85.229086 32.057191,-85.229106 32.057257,-85.22913 32.057389,-85.229178 32.05775,-85.229232 32.058113,-85.229409 32.059195,-85.229462 32.059556,-85.229523 32.059919,-85.229594 32.060279,-85.229705 32.060631,-85.229842 32.060977,-85.229943 32.061179,-85.230031 32.061304,-85.230142 32.061418,-85.230348 32.061549,-85.230712 32.061738,-85.231451 32.062102,-85.231815 32.062291,-85.232555 32.062657,-85.233665 32.063217,-85.234024 32.063422,-85.23436 32.063651,-85.234684 32.063893,-85.235001 32.064141,-85.235311 32.064397,-85.235934 32.0649,-85.236857 32.065662,-85.237171 32.065911,-85.237478 32.066164,-85.237782 32.066423,-85.238079 32.066688,-85.238665 32.067217,-85.239262 32.067738,-85.239608 32.06797,-85.239687 32.068008,-85.239897 32.068086,-85.240044 32.068137,-85.24046 32.068244,-85.240879 32.068333,-85.241306 32.068361,-85.241737 32.068347,-85.242501 32.068305,-85.242595 32.0683,-85.243025 32.068281,-85.243453 32.068272,-85.243881 32.068295,-85.244306 32.06835,-85.24473 32.068421,-85.245152 32.068497,-85.245569 32.0686,-85.245965 32.068716,-85.246353 32.068866,-85.246722 32.069049,-85.247074 32.069257,-85.248102 32.069905,-85.249144 32.070546,-85.249834 32.070976,-85.250521 32.071413,-85.250849 32.071644,-85.251124 32.071924,-85.251347 32.072235,-85.251557 32.072556,-85.251752 32.072881,-85.252434 32.074225,-85.252608 32.074559,-85.253272 32.075901,-85.253948 32.077235,-85.254293 32.077905,-85.254623 32.078578,-85.254834 32.078895,-85.255112 32.079172,-85.255428 32.079424,-85.25573 32.079683,-85.255993 32.07997,-85.256182 32.080297,-85.256651 32.081319,-85.256835 32.081651,-85.256942 32.081764,-85.257073 32.081862,-85.257214 32.081944,-85.257526 32.08206,-85.258343 32.082259,-85.258575 32.082334,-85.258717 32.082411,-85.258836 32.082516,-85.258927 32.082642,-85.258982 32.082783,-85.259009 32.082929,-85.259022 32.083078,-85.259026 32.083449,-85.259037 32.083813,-85.259087 32.084173,-85.259269 32.084498,-85.25959 32.084733,-85.259999 32.084854,-85.260422 32.084913,-85.260849 32.084915,-85.261276 32.084879,-85.261707 32.084848,-85.262137 32.084843,-85.262305 32.084874,-85.262538 32.084964,-85.262892 32.085169,-85.263235 32.085386,-85.264275 32.086025,-85.264959 32.086461,-85.265986 32.087135,-85.267354 32.088012,-85.269378 32.08929,-85.269521 32.089373,-85.269785 32.089501,-85.269869 32.089534,-85.27003 32.089588,-85.270197 32.089612,-85.270638 32.089613,-85.271069 32.089598,-85.271505 32.089608,-85.272369 32.089661,-85.273225 32.089722,-85.273653 32.089745,-85.274077 32.08975,-85.274492 32.089729,-85.274922 32.089688,-85.276198 32.089596,-85.276626 32.089568,-85.277054 32.089533,-85.277958 32.089475,-85.278763 32.089426,-85.279618 32.089384,-85.280474 32.089356,-85.281336 32.08935,-85.282191 32.089351,-85.283907 32.089331,-85.286476 32.08932,-85.287337 32.089301,-85.289057 32.089284,-85.289921 32.089264,-85.291638 32.089204,-85.293348 32.08916,-85.294203 32.089148,-85.294631 32.089148,-85.295057 32.089163,-85.295273 32.089177,-85.295468 32.089191,-85.295893 32.089259,-85.296312 32.089346,-85.296718 32.089467,-85.297109 32.089613,-85.297169 32.089643,-85.297476 32.089799,-85.297826 32.090009,-85.29815 32.090252,-85.298439 32.090522,-85.298688 32.090819,-85.298918 32.091129,-85.299135 32.091445,-85.29936 32.091758,-85.299578 32.092072,-85.299807 32.092382,-85.300045 32.092686,-85.300291 32.092984,-85.300567 32.093263,-85.300841 32.093532,-85.300921 32.093614,-85.301116 32.093815,-85.301919 32.094679,-85.302713 32.095545,-85.303258 32.09611,-85.303796 32.096679,-85.304051 32.096956,-85.304611 32.097515,-85.304881 32.097803,-85.305972 32.098931,-85.306261 32.099193,-85.30662 32.099392,-85.307026 32.099513,-85.307441 32.099601,-85.307548 32.099621,-85.307858 32.09968,-85.308266 32.09978,-85.308657 32.099933,-85.309425 32.100267,-85.309793 32.100451,-85.310107 32.100698,-85.310366 32.100988,-85.310554 32.101315,-85.310747 32.101852)",110685803004,David Jones Spr,M,S1400
"LINESTRING (-85.528748 31.905936,-85.528556 31.906043,-85.528399 31.906097,-85.528225 31.906109,-85.527877 31.906085,-85.527791 31.906102,-85.527723 31.90615,-85.527678 31.906214,-85.527631 31.906351,-85.52759 31.906568,-85.527507 31.90706,-85.527422 31.907266,-85.527336 31.907395,-85.527199 31.90749,-85.526955 31.907544,-85.526121 31.907653,-85.525523 31.907725,-85.525023 31.907797)",110685800915,Walker Spr,M,S1400
"LINESTRING (-85.509025 31.795801,-85.508886 31.795891,-85.508742 31.795973,-85.508506 31.79614)",110685801103,Caraway Spr,M,S1400
"LINESTRING (-85.227063 32.056947,-85.226959 32.057053,-85.226802 32.057201)",110685803005,David Jones Spr,M,S1400
"LINESTRING (-85.525623 31.909335,-85.525308 31.909521,-85.524679 31.910136,-85.52381 31.910268,-85.523389 31.910556,-85.522867 31.911215,-85.522103 31.911503,-85.52187 31.911831,-85.521801 31.912426,-85.521669 31.912506,-85.521782 31.912756,-85.52161 31.913577,-85.520676 31.915036,-85.520036 31.916533,-85.51986 31.917156,-85.520003 31.918993)",110685800927,Walter Spr,M,S1400
"LINESTRING (-85.643481 31.715157,-85.643661 31.715405,-85.646263 31.718656,-85.646558 31.719015,-85.646865 31.719364,-85.647003 31.719505,-85.647194 31.719701,-85.647547 31.720017,-85.647731 31.72017,-85.647919 31.720318,-85.649494 31.721442,-85.649579 31.721495,-85.649711 31.721588,-85.649906 31.721709)",110685803651,Shelly Jackson Spr,M,S1400
"LINESTRING (-85.565362 31.628635,-85.565117 31.628666,-85.562358 31.628878,-85.561329 31.628953,-85.560392 31.629032,-85.559968 31.629085,-85.559714 31.629126,-85.559379 31.62919,-85.559047 31.629263,-85.558559 31.629393,-85.558154 31.629519,-85.557995 31.629572,-85.557366 31.629809,-85.556517 31.630151,-85.556132 31.63031,-85.555755 31.63048,-85.55568 31.63052,-85.555536 31.630596,-85.555266 31.630772,-85.555132 31.630865,-85.555005 31.630962,-85.554886 31.631065,-85.554715 31.631227,-85.554608 31.63134,-85.554458 31.631518,-85.554363 31.631639,-85.554218 31.631842,-85.553758 31.632484,-85.553514 31.632826,-85.553255 31.633191,-85.552456 31.634318,-85.552181 31.634684,-85.551896 31.635046,-85.551442 31.635578,-85.550962 31.636092,-85.550627 31.636423,-85.550282 31.636748,-85.550123 31.636891,-85.549928 31.637066,-85.549383 31.637535,-85.548472 31.638309,-85.54808 31.638593,-85.547873 31.638722,-85.547433 31.638952,-85.547126 31.639083,-85.54697 31.63914,-85.546644 31.639238,-85.546479 31.639281,-85.54623 31.639338,-85.545893 31.639396,-85.545723 31.639417,-85.545383 31.639446,-85.543422 31.639569,-85.542924 31.639618,-85.542616 31.639674,-85.542358 31.639748,-85.541977 31.639905,-85.541826 31.639979,-85.54168 31.640062,-85.541471 31.640192,-85.541339 31.640288,-85.541218 31.640391,-85.54105 31.640559,-85.540948 31.640675,-85.540851 31.640798,-85.540762 31.640924,-85.540684 31.641053,-85.540613 31.641185,-85.54036 31.641729,-85.539891 31.642743,-85.539803 31.642946,-85.539725 31.643152,-85.539686 31.643291,-85.539641 31.64358,-85.539629 31.643795,-85.539638 31.644014,-85.539656 31.644158,-85.539721 31.644443,-85.539816 31.64471,-85.539958 31.645033,-85.54003 31.645192)",110685801433,Knights Spr,M,S1400
"LINESTRING (-85.550386 31.97681,-85.550408 31.977061,-85.550393 31.977208,-85.550359 31.977351,-85.550287 31.977483,-85.550166 31.977591,-85.550003 31.977643,-85.549844 31.977701,-85.549712 31.977794,-85.549606 31.977906,-85.549532 31.978035,-85.549222 31.978716,-85.549067 31.978894,-85.548955 31.979002,-85.548857 31.979117,-85.548819 31.979182,-85.548801 31.979253,-85.548808 31.979325,-85.548824 31.979396,-85.548868 31.979531,-85.54894 31.979654)",110685802354,Dry Creek Spr,M,S1400
